Gate Setting,VSC %,Roller Speed %,Potato Solid %,Peel Loss %
9.0,75.0,100,22.79,1.133
9.0,75.0,100,22.79,1.082
9.0,75.0,100,22.79,1.205
9.0,75.0,100,22.79,1.023
9.0,75.0,100,22.79,1.084
9.0,75.0,100,22.79,1.029
9.0,75.0,100,22.79,1.005
9.0,75.0,100,20.7,0.982
9.0,75.0,100,20.7,1.033
9.0,75.0,100,20.7,1.064
9.0,75.0,100,20.7,1.013
8.5,75.0,100,19.63,1.023
8.5,75.0,100,19.63,1.104
8.5,75.0,100,19.63,1.003
8.0,75.0,100,19.38,1.03
8.0,75.0,100,19.38,1.078
8.0,75.0,100,19.38,1.19
8.0,75.0,100,19.38,1.058
9.0,75.0,90,19.38,1.036
9.0,75.0,90,19.38,0.907
9.0,75.0,90,19.38,1.149
9.0,75.0,90,19.38,1.029
8.0,75.0,100,19.8,1.01
9.0,75.0,100,19.8,0.998
10.0,75.0,100,19.8,1.124
10.0,75.0,100,19.8,1.111
10.0,75.0,100,19.8,1.124
10.0,75.0,100,19.8,1.081
10.0,75.0,100,19.8,1.015
10.0,75.0,90,19.8,1.099
8.5,75.0,100,19.8,1.032
8.0,75.0,100,19.8,1.011
10.0,75.0,100,19.8,1.0
10.0,75.0,100,19.8,1.108
10.0,75.0,100,19.8,0.99
9.5,75.0,100,20.15,1.009
9.5,75.0,100,20.15,1.135
9.5,75.0,100,20.15,1.039
9.5,75.0,100,20.15,1.024
9.5,75.0,100,19.87,1.027
9.5,75.0,100,19.87,1.028
9.5,75.0,100,19.87,1.033
8.0,85.0,100,19.59,1.159
8.0,85.0,100,19.59,1.014
8.0,85.0,100,19.59,1.151
9.5,85.0,100,19.59,1.442
9.0,85.0,100,19.59,1.256
9.0,85.0,100,19.59,1.481
9.0,75.0,100,19.59,1.176
9.0,75.0,100,19.59,0.93
9.0,75.0,100,20.01,1.022
9.0,75.0,100,20.01,1.036
9.0,75.0,100,20.01,1.021
10.0,75.0,100,19.68,1.022
10.0,75.0,100,19.68,1.044
10.0,75.0,100,19.59,0.959
10.0,75.0,100,19.59,0.95
10.0,75.0,100,19.8,0.998
10.0,75.0,100,19.8,1.015
10.0,75.0,100,19.8,1.058
10.0,75.0,100,20.01,1.113
10.0,75.0,100,20.01,1.587
10.0,75.0,100,20.01,1.515
9.0,85.0,80,20.01,1.008
9.0,85.0,80,20.01,1.031
9.0,85.0,80,20.01,1.055
9.0,85.0,80,20.01,1.013
9.0,85.0,80,19.5,1.024
9.0,85.0,80,19.5,1.045
9.0,85.0,100,19.5,1.009
9.0,85.0,100,19.5,1.002
10.0,85.0,80,19.59,1.202
9.0,75.0,80,19.59,1.005
9.0,75.0,80,19.59,1.087
9.0,75.0,80,19.59,1.235
9.0,85.0,80,19.59,1.235
9.0,75.0,80,19.59,1.226
9.0,75.0,80,19.59,0.93
9.0,75.0,80,19.59,1.124
9.0,75.0,80,19.89,1.025
9.0,75.0,80,19.89,0.957
9.0,75.0,80,19.89,1.004
9.0,75.0,80,19.89,1.025
9.0,75.0,80,19.89,1.058
9.0,75.0,80,19.89,1.007
9.0,75.0,80,19.89,0.954
9.0,75.0,80,19.89,1.058
10.0,75.0,80,19.57,1.057
10.0,75.0,80,19.57,1.008
10.0,75.0,80,19.57,1.011
10.0,75.0,80,19.57,1.024
10.0,75.0,80,19.57,1.03
10.0,75.0,80,19.57,1.006
10.0,75.0,80,19.57,1.039
10.0,75.0,80,19.57,1.018
10.0,75.0,80,20.47,1.218
10.0,75.0,80,20.47,1.053
10.0,75.0,80,20.47,1.232
10.0,75.0,80,20.47,1.38
10.0,75.0,80,20.47,1.097
10.0,75.0,80,20.47,1.08
10.0,75.0,80,20.47,1.352
10.0,75.0,80,20.47,1.025
10.0,75.0,80,20.01,1.045
10.0,75.0,80,20.01,1.008
10.0,75.0,80,20.01,1.022
10.0,75.0,80,20.01,1.017
10.0,75.0,80,20.01,1.03
10.0,75.0,80,20.01,1.026
10.0,75.0,80,20.01,1.032
10.0,75.0,80,20.01,1.011
9.0,75.0,80,19.8,1.193
9.0,75.0,80,19.8,1.159
9.0,75.0,80,19.8,1.172
9.0,75.0,80,19.8,1.03
9.0,75.0,80,19.8,1.193
10.0,75.0,80,19.8,1.112
10.0,75.0,80,19.8,1.112
10.0,75.0,80,19.8,1.025
10.0,75.0,80,19.8,1.009
10.0,75.0,80,19.8,1.161
10.0,75.0,80,19.8,1.154
10.0,75.0,80,19.8,1.062
10.0,75.0,80,21.2,1.153
10.0,75.0,80,21.2,1.166
10.0,75.0,80,21.2,1.145
10.0,75.0,80,21.2,1.001
10.0,84.0,84,22.0,1.8
9.0,75.0,90,20.0,1.08
9.0,75.0,90,20.0,1.09
9.0,75.0,90,20.0,1.066762760297796
